true/predicted,KouroshKarimkhany,KevinMorrison,MarkBendeich,NickLouth,KirstinRidley,TimFarrand,EricAuchard,JanLopatka,LynneO'Donnell,PierreTran,AlanCrosby,EdnaFernandes,AaronPressman,WilliamKazer,KarlPenhaul,SimonCowell,RogerFillion,GrahamEarnshaw,JohnMastrini,PeterHumphrey,AlexanderSmith,MatthewBunce,BradDorfman,JonathanBirt,ToddNissen,PatriciaCommins,RobinSidel,KeithWeir,LydiaZajc,DavidLawder,MartinWolk,SamuelPerry,JimGilchrist,BenjaminKangLim,TheresePoletti,MichaelConnor,DarrenSchuettler,ScottHillis,FumikoFujisaki,BernardHickey,MarcelMichelson,LynnleyBrowning,TanEeLyn,JoWinterbottom,MureDickie,SarahDavison,JaneMacartney,KevinDrawbaugh,HeatherScoffield,JoeOrtiz
EdnaFernandes,1.0,17.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,4.0,18.0,6.0,0.0,4.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,4.0,4.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0
AaronPressman,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,3.0,4.0,6.0,12.0,2.0,3.0,1.0,3.0,1.0,0.0,1.0,2.0,4.0,3.0,1.0,0.0,1.0,6.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,4.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,2.0,5.0
WilliamKazer,1.0,1.0,1.0,2.0,1.0,0.0,3.0,3.0,1.0,2.0,4.0,8.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,6.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,2.0,6.0,4.0,1.0,2.0,5.0,0.0,1.0,1.0,3.0,3.0,5.0,1.0,2.0,2.0,1.0,0.0,4.0,2.0
KarlPenhaul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,1.0,4.0,1.0,43.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0
SimonCowell,5.0,3.0,0.0,1.0,2.0,0.0,3.0,3.0,6.0,1.0,2.0,3.0,12.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,4.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,7.0
RogerFillion,1.0,1.0,0.0,2.0,3.0,1.0,7.0,4.0,0.0,3.0,6.0,1.0,4.0,1.0,0.0,0.0,7.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,8.0,5.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,7.0,0.0,3.0,0.0,1.0,2.0
GrahamEarnshaw,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,7.0,0.0,1.0,0.0,1.0,17.0,0.0,5.0,7.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,5.0,7.0,3.0,0.0,1.0,0.0,1.0,5.0,2.0,0.0,0.0,3.0
JohnMastrini,1.0,2.0,0.0,2.0,1.0,0.0,2.0,7.0,1.0,2.0,5.0,3.0,5.0,1.0,1.0,1.0,0.0,1.0,20.0,0.0,3.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,4.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,3.0,1.0,1.0,1.0,3.0,2.0
PeterHumphrey,0.0,1.0,6.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,3.0,3.0,2.0,0.0,0.0,3.0,0.0,8.0,0.0,22.0,3.0,2.0,5.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,1.0,4.0,0.0,1.0,0.0,4.0,2.0
AlexanderSmith,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,9.0,0.0,3.0,0.0,3.0,3.0,1.0,2.0,26.0,1.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,2.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,4.0
